"comu";"descriz";"group";"ampiezza";"indVec";"indStra";"indAgri";"indInd";"indTur";"comuat.y"
1;"Ala                                     ";1;8915;112,1;13,48;0,86;13,76;93,03;1
7;"Avio                                    ";1;4089;135;8,78;2,15;14,88;13,37;7
22;"Borgo Valsugana                         ";1;6889;147,08;10,2;0,3;11,9;0;22
29;"Caderzone Terme                         ";1;665;142,72;9,62;1,2;6,51;1980,45;29
35;"Calliano                                ";1;1776;75,23;11,15;0,34;16,08;308,26;35
40;"Capriana                                ";1;589;141,67;9,34;0,17;9,39;1067,83;40
42;"Carisolo                                ";1;972;129,53;7,92;0,21;13,82;3773,62;42
46;"Castelfondo                             ";1;634;132,99;11,36;2,52;12,2;0;46
51;"Cavareno                                ";1;1047;128,9;11,17;0,38;13,56;1810,68;51
62;"Cles                                    ";1;6790;159,61;12,58;0,9;17,34;110,86;62
63;"Cloz                                    ";1;724;167,68;18,37;5,39;11,5;0;63
64;"Commezzadura                            ";1;1002;132,03;8,98;0,4;12,49;8118,35;64
68;"Croviana                                ";1;686;110,58;10,64;0,87;8,07;0;68
74;"Denno                                   ";1;1292;125,69;14,24;4,18;6,15;48,02;74
79;"Dro                                     ";1;4851;89,56;9,92;0,72;9,85;632,56;79
83;"Fiave'                                  ";1;1125;142,68;16,98;0,71;6,59;716,37;83
88;"Fondo                                   ";1;1369;191,92;11,54;1,61;18,74;1879,69;88
89;"Fornace                                 ";1;1352;89,59;11,32;0;20,41;0,3;89
93;"Giustino                                ";1;731;153,61;9,71;0,55;7,66;6935,47;93
99;"Ivano-Fracena                           ";1;331;66,67;11,18;0,91;16,26;0;99
103;"Lavis                                   ";1;8782;109,83;10,87;0,93;22;268,72;103
104;"Levico Terme                            ";1;7664;122,2;11,59;0,73;7,83;4120,53;104
108;"Lona-Lases                              ";1;886;96,03;21,9;0,11;23,2;29,63;108
110;"Male'                                   ";1;2093;186,11;13,86;0,91;6,17;4009,53;110
111;"Malosco                                 ";1;468;96,51;19,02;0,21;10,56;7264,95;111
112;"Massimeno                               ";1;125;200;11,2;0;4,3;0;112
116;"Mezzocorona                             ";1;5342;135,45;11,62;1,85;15,21;166,62;116
117;"Mezzolombardo                           ";1;7006;125,25;13,32;0,71;11,28;54,69;117
123;"Mori                                    ";1;9675;138,1;9;0,42;6,92;13,93;123
138;"Pelugo                                  ";1;401;88,41;10,72;0;8,15;0;138
154;"Romallo                                 ";1;621;197,47;9,02;3,38;4,42;4,76;154
155;"Romeno                                  ";1;1381;157,95;9,2;1,96;8,78;535,17;155
159;"Ronzone                                 ";1;419;191,38;11,22;0,24;4,02;7879,62;159
160;"Rovere' della Luna                      ";1;1590;134,14;13,02;3,14;16,86;88,07;160
163;"Rumo                                    ";1;814;160,18;10,32;2,09;9,95;1920,63;163
167;"San Michele all'Adige                   ";1;3039;91,54;14,58;0,89;3,13;294,53;167
170;"Sarnonico                               ";1;770;125,23;12,08;1,04;10,55;3564,61;170
172;"Segonzano                               ";1;1509;113,77;9,48;1,06;7,4;1261,21;172
179;"Spiazzo                                 ";1;1227;143,81;12,31;0,24;9;747,71;179
180;"Spormaggiore                            ";1;1280;118,75;10,86;1,25;9,94;190,52;180
182;"Stenico                                 ";1;1168;130,16;8,99;0,77;8,28;4205,52;182
183;"Storo                                   ";1;4680;117,91;6,41;0,38;16,73;118,92;183
184;"Strembo                                 ";1;559;123,96;14,85;0,89;16,54;77,48;184
199;"Tione di Trento                         ";1;3627;145,64;12,68;0,11;16,67;168,64;199
224;"Volano                                  ";1;3179;117,98;9,78;0,98;16,44;0;224
225;"Zambana                                 ";1;1732;124,44;11,95;1,1;5,48;0;225
228;"Comano Terme                            ";1;2971;108,1;14,84;1,18;15,5;2487,39;228
241;"Cembra Lisignago                        ";1;2317;127,93;10,88;1,34;10,39;227;241
243;"Madruzzo                                ";1;2913;113,24;10,4;1,99;7,34;262,74;243
244;"Porte di Rendena                        ";1;1775;118,87;13,58;0,39;10,95;73,83;244
2;"Albiano                                 ";2;1528;116,54;11,39;0;46,05;0;2
6;"Arco                                    ";2;17104;132,87;9,8;0,36;17,61;1022,55;6
49;"Castelnuovo                             ";2;1047;108,55;7,74;1,15;45,01;0;49
139;"Pergine Valsugana                       ";2;20823;108,77;9,21;0,37;9,28;208,47;139
153;"Riva del Garda                          ";2;16757;139,83;12,6;0,19;8,75;6560,46;153
161;"Rovereto                                ";2;38464;149,03;12,96;0,08;15,01;248,35;161
171;"Scurelle                                ";2;1433;133,04;8,03;0,91;64,97;115,29;171
238;"Borgo Chiese                            ";2;2008;161,31;5,88;0,2;38,77;328,38;238
3;"Aldeno                                  ";3;3084;119,54;5,8;2,59;7,11;0;3
9;"Baselga di Pine'                        ";3;4983;134,97;6,66;0,48;7,31;1056,13;9
11;"Bedollo                                 ";3;1483;173,06;2,49;0,27;4,79;1596,1;11
13;"Besenello                               ";3;2635;85,31;4,1;1,14;9,64;28,43;13
15;"Bieno                                   ";3;419;211,32;7,4;0,72;7,95;244,08;15
17;"Bleggio Superiore                       ";3;1492;187,68;7,51;1,27;8,08;8,45;17
18;"Bocenago                                ";3;402;210,53;6,97;0;7,31;540,81;18
21;"Bondone                                 ";3;679;176,6;2,21;0,29;6,17;26,81;21
25;"Brentonico                              ";3;3957;140,13;7,46;0,99;4,32;2240,7;25
26;"Bresimo                                 ";3;255;200;0,78;1,57;2,35;152,38;26
32;"Calceranica al Lago                     ";3;1379;125,47;5,37;0,44;16,27;811,62;32
34;"Caldonazzo                              ";3;3552;103,15;4,19;0,93;7,22;419,46;34
38;"Canal San Bovo                          ";3;1522;204,74;2,5;0,79;9,19;423,11;38
41;"Carano                                  ";3;1087;102,62;5,15;0,46;10,16;4769,26;41
43;"Carzano                                 ";3;521;136,49;3,84;2,11;7,35;0;43
45;"Castel Condino                          ";3;239;127,66;2,93;0,42;7,75;0;45
47;"Castello-Molina di Fiemme               ";3;2288;141,79;5,07;0,61;9,24;2633,65;47
48;"Castello Tesino                         ";3;1227;367,65;1,55;0,49;4,16;944,13;48
50;"Cavalese                                ";3;4053;133,98;9,57;0,37;9,22;5478,11;50
52;"Cavedago                                ";3;517;159,21;4,06;0,77;6,97;4543,76;52
53;"Cavedine                                ";3;2948;144,64;7,16;1,22;7,49;0;53
54;"Cavizzana                               ";3;257;90,48;3,5;1,56;1,25;0;54
58;"Cimone                                  ";3;727;92,19;4,95;0,96;2,97;0;58
59;"Cinte Tesino                            ";3;372;369,7;1,34;0,54;26,52;0;59
60;"Cis                                     ";3;310;144,9;3,55;2,26;11,89;0;60
