"comu";"descriz";"group";"ampiezza";"indVec";"indStra";"indAgri";"indInd";"indCostr";"indComTur";"indAltro"
107;"Comano Terme                            ";1;2971;108,097928436911;14,8434870414002;1,17805452709525;28,8148294222047;16,5933740879511;32,9915204101755;21,6002760796687
108;"Lona-Lases                              ";2;886;96,0264900662252;21,8961625282167;0,112866817155756;56,8849763650065;13,5336027950949;21,0728231828458;8,50859765705282
109;"Luserna-LusÚrn                          ";4;274;266,666666666667;1,09489051094891;0;0;7,54830917874396;47,2222222222222;45,2294685990338
110;"Male'                                   ";4;2093;186,111111111111;13,8557095078834;0,907787864309603;6,3966197483472;10,8245361484325;44,806995094903;37,9718490083173
111;"Malosco                                 ";1;468;96,5116279069768;19,017094017094;0,213675213675214;34,4911147011309;9,86357924968588;30,3536169448932;25,2916891042901
112;"Massimeno                               ";4;125;200;11,2;0;11,4622388859132;17,3004820567756;60,5249062667381;10,7123727905731
113;"Mazzin-Mazin                            ";4;555;112,658227848101;6,48648648648649;0,36036036036036;13,8802270728392;30,3190213480451;49,788118653554;6,01263292556169
114;"Mezzana                                 ";4;893;146,153846153846;6,38297872340426;0,671892497200448;4,83627466291843;6,22277751748313;60,5792423690285;28,3617054505701
115;"Mezzano                                 ";4;1633;155,508474576271;2,38824249846908;0,551132884262094;22,2974261201144;26,107403876708;33,2316491897045;18,3635208134732
116;"Mezzocorona                             ";1;5342;135,452322738386;11,6248596031449;1,85323848745788;38,8388724820382;5,92575042976154;22,7283245911755;32,5070524970247
117;"Mezzolombardo                           ";1;7006;125,253456221198;13,317156722809;0,713673993719669;20,6675073063963;12,663576823647;31,8752873005765;34,7936285693802
118;"Moena-Moena                             ";4;2677;185,151515151515;5,97683974598431;0,336197235711617;5,132847401834;11,020456148601;56,0271181127048;27,8195783368603
119;"Ledro                                   ";3;5350;143,154034229829;7,25233644859813;0,355140186915888;31,9422074846044;13,8733617558819;34,0202115900837;20,16421916943
120;"Molveno                                 ";4;1138;166;4,21792618629174;0;3,52139993965777;10,0922374035602;74,5851471919314;11,8012154648506
121;"Dimaro Folgarida                        ";4;2206;126,946107784431;13,3272892112421;0,543970988213962;10,0259943043197;12,5934863419005;47,7869354223409;29,5935839314389
122;"Tre Ville                               ";4;1460;168,39378238342;3,63013698630137;0,273972602739726;26,0493993791335;5,27466594682143;45,0749088945877;23,6010257794574
123;"Mori                                    ";1;9675;138,101788170564;9,00258397932817;0,423772609819121;7,20067205454925;6,49346136708323;12,7966299162385;73,5092366621291
124;"Nago-Torbole                            ";4;2857;130,542986425339;12,8806440322016;0,385019250962548;5,29190816636755;4,47791932684103;69,8186668235802;20,4115056832112
125;"Ville d'Anaunia                         ";3;4936;162,371888726208;7,84035656401945;5,30794165316045;33,498518391165;19,0252733138482;26,0156352713923;21,4605730235945
126;"Nave San Rocco                          ";7;1405;91,4893617021277;9,03914590747331;4,05693950177936;0,466096992564643;30,407279991122;24,636555321274;44,4900676950394
127;"Nogaredo                                ";3;2014;125,161290322581;4,27010923535253;0,99304865938431;22,8882929927316;21,7274715969233;37,1992096535177;18,1850257568273
128;"Nomi                                    ";6;1282;171,287128712871;5,92823712948518;1,5600624024961;22,4137134408354;5,58610174190269;32,4400499006607;39,5601349166012
129;"Novaledo                                ";2;1069;94,0540540540541;4,02245088868101;0,748362956033676;74,3904817632143;4,86314283856706;10,4999674923607;10,2464079058579
130;"Ospedaletto                             ";3;825;147,933884297521;7,39393939393939;1,21212121212121;23,6992546493958;29,9225703741226;30,2192633330921;16,1589116433895
131;"Ossana                                  ";3;863;145,384615384615;7,06836616454229;0,347624565469293;41,5102144720932;14,8062114172978;33,3290905619551;10,354483548654
132;"Vallelaghi                              ";6;5034;119,678217821782;5,621771950735;0,893921334922527;12,2568275973025;21,1779532626329;36,6873583868503;29,8778607532144
133;"Pal¨ del Fersina-Palai en Bersntol      ";4;178;480;1,68539325842697;2,24719101123596;0;35,9738372093023;56,7587209302326;7,26744186046511
134;"Panchia'                                ";3;813;115;5,2890528905289;0,1230012300123;32,8317522625668;18,373132700905;27,8541053320249;20,9410097045033
135;"Ronzo-Chienis                           ";5;981;160,15037593985;4,58715596330275;1,52905198776758;14,4906743185079;44,2826398852224;27,7905308464849;13,4361549497848
136;"Peio                                    ";4;1862;163,671875;3,86680988184748;0,75187969924812;13,3569799847986;14,2741322523435;45,9015285871126;26,4673591757453
137;"Pellizzano                              ";4;730;246,511627906977;5,61643835616438;0,273972602739726;5,1990171990172;6,3046683046683;50,9680589680589;37,5282555282555
138;"Pelugo                                  ";5;401;88,4057971014493;10,7231920199501;0;0;58,5558143701846;23,6695932628561;17,7745923669593
139;"Pergine Valsugana                       ";1;20823;108,773903262092;9,2061662584642;0,374585794554099;22,9542716881994;12,1647229393735;33,7327376485957;31,1482677238315
140;"Pieve di Bono-Prezzo                    ";6;1440;196,629213483146;3,47222222222222;0,277777777777778;27,381170857038;12,7064599008992;32,5174343916315;27,3949348504313
141;"Ledro                                   ";3;5350;143,154034229829;7,25233644859813;0,355140186915888;31,9422074846044;13,8733617558819;34,0202115900837;20,16421916943
142;"Pieve Tesino                            ";4;663;298,611111111111;2,8657616892911;0,603318250377074;26,8782297601696;7,59242082946867;44,5143765734729;21,0149728368888
143;"Pinzolo                                 ";4;3091;161,981566820276;6,40569395017794;0,29116790682627;1,45311465191476;8,36923916007636;56,8175620398146;33,3600841481944
144;"Pomarolo                                ";6;2478;102,600472813239;6,77966101694915;0,645682001614205;8,85081408557365;27,442256720939;29,0136312003029;34,6932979931844
145;"Pozza di Fassa-Poza                     ";4;2252;82,1978021978022;5,95026642984014;0,621669626998224;6,71137353389083;13,3096440371548;59,2214592962676;20,7575231326868
146;"Valdaone                                ";5;1196;193,197278911565;0,919732441471572;0,668896321070234;14,9288584772456;41,9843597262952;26,192027804931;16,8947539915282
147;"Predazzo                                ";1;4502;156,67701863354;7,08573967125722;0,244335850733008;16,8447068971237;13,4160501608997;35,7656282829623;33,9736146590142
148;"Tre Ville                               ";4;1460;168,39378238342;3,63013698630137;0,273972602739726;26,0493993791335;5,27466594682143;45,0749088945877;23,6010257794574
149;"Pieve di Bono-Prezzo                    ";6;1440;196,629213483146;3,47222222222222;0,277777777777778;27,381170857038;12,7064599008992;32,5174343916315;27,3949348504313
150;"Rabbi                                   ";6;1384;180,838323353293;2,60115606936416;2,45664739884393;9,14190733430293;30,6323152572893;31,3837523374195;28,8420250709883
151;"Tre Ville                               ";4;1460;168,39378238342;3,63013698630137;0,273972602739726;26,0493993791335;5,27466594682143;45,0749088945877;23,6010257794574
152;"Revo'                                   ";1;1241;167,785234899329;9,02497985495568;4,99597099113618;6,85288480175737;12,1422264337863;11,1580126203347;69,8468761441216
153;"Riva del Garda                          ";1;16757;139,83244478294;12,5977203556723;0,190964969863341;16,8232612981854;6,895285663221;41,686790249457;34,5946627891367
154;"Romallo                                 ";3;621;197,46835443038;9,01771336553945;3,38164251207729;31,5664690939881;14,8687552921253;26,7739204064352;26,7908552074513
